dataset,paradigm,win_ms,n_codes,vocab_size,seed,fold,accuracy,macro_f1,kappa,compression_ratio,mean_token_ms
bci_iv_2a,Motor Imagery,250,64,4096,42,0,0.2690972222222222,0.26754474186367566,0.02546296296296291,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,42,1,0.2465277777777778,0.24427103145384838,-0.004629629629629539,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,42,2,0.2586805555555556,0.2550043079407699,0.01157407407407407,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,42,3,0.234375,0.23245888991272248,-0.02083333333333326,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,42,4,0.2569444444444444,0.25645745271714954,0.0092592592592593,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,42,5,0.2604166666666667,0.255315187480236,0.01388888888888884,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,42,6,0.2361111111111111,0.23615801839551048,-0.0185185185185186,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,42,7,0.2725694444444444,0.27389698937227785,0.03009259259259256,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,42,8,0.2534722222222222,0.25217812561148356,0.00462962962962965,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,123,0,0.2690972222222222,0.26754474186367566,0.02546296296296291,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,123,1,0.2465277777777778,0.2442183242953298,-0.004629629629629539,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,123,2,0.2586805555555556,0.2550795407505142,0.01157407407407407,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,123,3,0.234375,0.23247271547909434,-0.02083333333333326,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,123,4,0.2569444444444444,0.25648887566930145,0.0092592592592593,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,123,5,0.2604166666666667,0.2558228673655594,0.01388888888888884,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,123,6,0.2361111111111111,0.23615187292674572,-0.0185185185185186,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,123,7,0.2725694444444444,0.27399400541254293,0.03009259259259256,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,123,8,0.2517361111111111,0.2504077218780345,0.0023148148148147696,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,456,0,0.2690972222222222,0.26753183728637,0.02546296296296291,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,456,1,0.2465277777777778,0.24427103145384838,-0.004629629629629539,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,456,2,0.2586805555555556,0.2550043079407699,0.01157407407407407,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,456,3,0.234375,0.23245888991272248,-0.02083333333333326,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,456,4,0.2569444444444444,0.25648887566930145,0.0092592592592593,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,456,5,0.2621527777777778,0.25740135697254884,0.01620370370370372,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,456,6,0.2361111111111111,0.23615187292674572,-0.0185185185185186,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,456,7,0.2725694444444444,0.27389698937227785,0.03009259259259256,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,456,8,0.2517361111111111,0.2502458114054578,0.0023148148148147696,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,789,0,0.2690972222222222,0.26754474186367566,0.02546296296296291,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,789,1,0.2465277777777778,0.2442183242953298,-0.004629629629629539,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,789,2,0.2604166666666667,0.2569613854999693,0.01388888888888884,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,789,3,0.234375,0.23244212066321668,-0.02083333333333326,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,789,4,0.2586805555555556,0.2585539875332533,0.01157407407407407,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,789,5,0.2621527777777778,0.25738379906823666,0.01620370370370372,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,789,6,0.2361111111111111,0.23615187292674572,-0.0185185185185186,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,789,7,0.2708333333333333,0.27235512616001495,0.02777777777777779,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,789,8,0.2534722222222222,0.25217812561148356,0.00462962962962965,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,2024,0,0.2690972222222222,0.267576007992699,0.02546296296296291,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,2024,1,0.2465277777777778,0.2442183242953298,-0.004629629629629539,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,2024,2,0.2586805555555556,0.2550043079407699,0.01157407407407407,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,2024,3,0.234375,0.23247271547909434,-0.02083333333333326,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,2024,4,0.2569444444444444,0.25648887566930145,0.0092592592592593,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,2024,5,0.2638888888888889,0.2589012218565904,0.01851851851851849,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,2024,6,0.2361111111111111,0.23615187292674572,-0.0185185185185186,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,2024,7,0.2725694444444444,0.27399400541254293,0.03009259259259256,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,250,64,4096,2024,8,0.25,0.248709170704626,0.0,1.0845584186467991,3572.8826897446684
bci_iv_2a,Motor Imagery,500,64,4096,42,0,0.2725694444444444,0.27175845380704433,0.03009259259259256,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,42,1,0.2829861111111111,0.2806562856595862,0.04398148148148151,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,42,2,0.2847222222222222,0.28350834869372166,0.04629629629629628,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,42,3,0.2864583333333333,0.2849275747858093,0.04861111111111116,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,42,4,0.23958333333333334,0.23226001972310467,-0.01388888888888884,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,42,5,0.2604166666666667,0.26032859668339353,0.01388888888888884,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,42,6,0.2517361111111111,0.25317438066764214,0.0023148148148147696,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,42,7,0.2743055555555556,0.2748611411852269,0.03240740740740744,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,42,8,0.2604166666666667,0.2598752597567962,0.01388888888888884,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,123,0,0.2725694444444444,0.2717161434430094,0.03009259259259256,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,123,1,0.2829861111111111,0.28063763948786247,0.04398148148148151,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,123,2,0.2864583333333333,0.2853724306723783,0.04861111111111116,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,123,3,0.2881944444444444,0.286589404677991,0.05092592592592593,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,123,4,0.23958333333333334,0.23226001972310467,-0.01388888888888884,1.0771093485853307,3481.540667087542
