dataset,classifier,vocab_size,n_bins,n_codes,method,seed,cv_strategy,n_folds,chance_level,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,macro_f1_mean,kappa_mean,timestamp
physionet_mi,Spatial_BPE_LogReg,256,64,64,adaptive,42,5fold-subject,3,0.25,0.23703703703703705,0.029162992125969678,0.2111111111111111,0.2777777777777778,0.24030091285526067,0.2213539008973745,-0.011874547744222586,2026-03-21T23:22:54.584876
physionet_mi,Spatial_BPE_RF,256,64,64,adaptive,42,5fold-subject,3,0.25,0.2518518518518518,0.02283116297395918,0.2222222222222222,0.2777777777777778,0.25751497898237025,0.22544378746461882,0.008371132500581302,2026-03-21T23:22:54.587875
physionet_mi,Spatial_BPE_LogReg,256,64,64,adaptive,456,5fold-subject,3,0.25,0.2925925925925926,0.020951312035156967,0.2777777777777778,0.32222222222222224,0.2991796850492503,0.2519576904994804,0.06196894575902575,2026-03-21T23:22:58.015257
physionet_mi,Spatial_BPE_RF,256,64,64,adaptive,456,5fold-subject,3,0.25,0.2962962962962963,0.05468452985271629,0.2333333333333333,0.36666666666666664,0.30298716983499596,0.2526707929657332,0.06753607282166856,2026-03-21T23:22:58.018256
ssvep_nakanishi,Spatial_BPE_LogReg,256,64,64,adaptive,789,LOSO,3,0.08333333333333333,0.0925925925925926,0.009442628728875527,0.08333333333333333,0.10555555555555556,0.0925925925925926,0.08939575730682603,0.010101010101010091,2026-03-21T23:23:01.909425
ssvep_nakanishi,Spatial_BPE_RF,256,64,64,adaptive,789,LOSO,3,0.08333333333333333,0.08333333333333333,0.00785674201318386,0.07777777777777778,0.09444444444444444,0.08333333333333333,0.07722459086581217,-3.700743415417188e-17,2026-03-21T23:23:01.912424
