ablation,dataset,condition,orig_sfreq,target_sfreq,n_times,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A3,bci_iv_2a,original,250,128,1001,42,0.2735339506172839,0.018338811039969333,0.263695987654321,0.2862702546296297,0.2735339506172839,0.031378600823045284,2026-03-12T14:05:41.500768
A3,bci_iv_2a,original,250,128,1001,123,0.27391975308641975,0.01798228578151453,0.26331018518518523,0.2860773533950618,0.27391975308641975,0.03189300411522636,2026-03-12T14:05:41.510759
A3,bci_iv_2a,original,250,128,1001,456,0.27237654320987653,0.0183813722987216,0.26176697530864196,0.28587962962962965,0.2723765432098765,0.02983539094650203,2026-03-12T14:05:41.514735
A3,bci_iv_2a,original,250,128,1001,789,0.2741126543209876,0.019183734398845395,0.2623456790123457,0.28781346450617284,0.2741126543209876,0.032150205761316886,2026-03-12T14:05:41.516567
A3,bci_iv_2a,original,250,128,1001,2024,0.27469135802469136,0.01867658555935128,0.263695987654321,0.2872347608024692,0.27469135802469136,0.03292181069958849,2026-03-12T14:05:41.518066
A3,bci_iv_2a,resample,250,128,512,42,0.2760416666666667,0.024497697324672132,0.2594521604938272,0.29050925925925924,0.2760416666666667,0.03472222222222221,2026-03-12T14:08:26.293154
A3,bci_iv_2a,resample,250,128,512,123,0.2762345679012346,0.023810608216372646,0.2596402391975308,0.29012827932098767,0.2762345679012345,0.03497942386831274,2026-03-12T14:08:26.299157
A3,bci_iv_2a,resample,250,128,512,456,0.2762345679012346,0.023740178682284355,0.2596402391975308,0.2907021604938272,0.2762345679012345,0.03497942386831274,2026-03-12T14:08:26.304158
A3,bci_iv_2a,resample,250,128,512,789,0.2762345679012346,0.02371194829532291,0.25906635802469136,0.29032118055555556,0.2762345679012346,0.03497942386831275,2026-03-12T14:08:26.306658
A3,bci_iv_2a,resample,250,128,512,2024,0.2762345679012345,0.023669539583607978,0.25925443672839504,0.29032118055555556,0.2762345679012345,0.03497942386831274,2026-03-12T14:08:26.307659
A3,bci_iv_2a,temporal_norm,250,128,500,42,0.27044753086419754,0.026855565498130098,0.2526957947530864,0.28877797067901234,0.27044753086419754,0.027263374485596695,2026-03-12T14:11:08.219350
A3,bci_iv_2a,temporal_norm,250,128,500,123,0.27121913580246915,0.0261990841185259,0.2550106095679012,0.2881944444444444,0.27121913580246915,0.02829218106995885,2026-03-12T14:11:08.227337
A3,bci_iv_2a,temporal_norm,250,128,500,456,0.27044753086419754,0.026237404530739663,0.253467399691358,0.28666087962962966,0.27044753086419754,0.027263374485596705,2026-03-12T14:11:08.231337
A3,bci_iv_2a,temporal_norm,250,128,500,789,0.27218364197530864,0.02605809381291401,0.2561631944444444,0.2889660493827161,0.27218364197530864,0.029578189300411513,2026-03-12T14:11:08.232337
A3,bci_iv_2a,temporal_norm,250,128,500,2024,0.27044753086419754,0.026377436418208777,0.25366512345679015,0.2891589506172839,0.27044753086419754,0.027263374485596705,2026-03-12T14:11:08.233837
