token_id,merge_level,length_base,duration_ms,dominant_freq_hz,spectral_entropy,hjorth_activity,hjorth_mobility,hjorth_complexity,band_delta,band_theta,band_alpha,band_beta,band_gamma
190,127,4,31.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,129,4,31.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,131,4,31.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,132,4,31.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,134,4,31.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,138,4,31.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,139,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,140,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,141,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,144,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,145,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,146,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,147,5,39.0625,22.053155816871683,0.9182958340544897,0.0024999999999999996,1.0825317547305484,1.005662977687534,0.0,0.0,0.0,0.0,0.33333333333333326
212,149,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,150,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,152,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,153,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,155,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,156,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,157,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,158,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,161,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,162,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,164,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,165,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,167,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,168,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,169,5,39.0625,22.053155816871683,0.9182958340544897,0.0024999999999999996,1.0825317547305484,1.005662977687534,0.0,0.0,0.0,0.0,0.33333333333333326
233,170,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,171,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,172,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,173,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,175,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,176,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,178,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,180,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,182,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,183,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,185,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,187,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,189,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,190,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,191,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,192,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
