dataset,vocab_size,compression_ratio,accuracy_mean,accuracy_std,n_folds,samples_per_second,trials_per_second,wall_time_50_trials,timestamp
bci_iv_2a,512,1.1306047341791616,0.26493055555555556,0.005219894575823928,5,4092985.980927074,185.85895835651047,0.2690211999579333,2026-03-09T09:22:44.921682
bci_iv_2a,1024,1.1614668326277406,0.27465277777777775,0.013819269959814157,5,3120997.2450084738,141.72178934740143,0.352803900022991,2026-03-09T09:23:49.537117
bci_iv_2a,2048,1.194414639309202,0.27708333333333335,0.013019675874481018,5,2480014.162527148,112.6153011773294,0.44398939999518916,2026-03-09T09:25:50.364353
bci_iv_2a,4096,1.2278245860414316,0.2788194444444444,0.00796343398693037,5,1903724.2177705853,86.446472517055,0.5783926000003703,2026-03-09T09:29:36.318980
bci_iv_2a,8192,1.2617796151199108,0.2795138888888889,0.005265885725035798,5,1097922.174082736,49.85569766972736,1.0028943999786861,2026-03-09T09:37:43.775204
bci_iv_2a,16384,1.2954420489908485,0.2826388888888889,0.008172640483291542,5,715390.7241261526,32.48527491263975,1.5391588999773376,2026-03-09T09:53:42.009369
bci_iv_2a,32768,1.3280966856535725,0.2875,0.008547592795202215,5,126266.19385974699,5.733638809360957,8.720465600024909,2026-03-09T10:31:18.761149
bci_iv_2a,65536,1.3620813860570986,0.2829861111111111,0.008784104611578832,5,60379.02299700585,2.7417592860324156,18.236466000031214,2026-03-09T11:47:56.539458
physionet_mi,512,1.1302789767914088,0.2533333333333333,0.03250830852961732,5,5784043.490412991,125.34768313134947,0.3988905000151135,2026-03-09T11:50:51.507428
physionet_mi,1024,1.149197108252971,0.2511111111111111,0.025915341754867996,5,4902004.526936287,106.23276107264839,0.4706646000267938,2026-03-09T11:51:18.063274
physionet_mi,2048,1.167373373429366,0.24444444444444446,0.023306863292670024,5,3734589.0737650907,80.9333623822185,0.6177922000060789,2026-03-09T11:52:39.350225
physionet_mi,4096,1.1853022520742789,0.24666666666666667,0.027577052546646347,5,2919111.4372512945,63.26091013460677,0.7903775000013411,2026-03-09T11:54:16.220922
physionet_mi,8192,1.203098479876716,0.24444444444444446,0.023306863292670024,5,1657120.6737954337,35.91194247996346,1.3922945000231266,2026-03-09T11:57:29.643614
physionet_mi,16384,1.219714396250903,0.24222222222222226,0.023726840560069573,5,1051537.171232963,22.788166852309356,2.194121200009249,2026-03-09T12:04:04.180128
physionet_mi,32768,1.2360072074670285,0.24222222222222226,0.024745619390355647,5,95153.8132397584,2.062105869446914,24.247057700005826,2026-03-09T12:20:43.203556
physionet_mi,65536,1.2527466361251676,0.24000000000000005,0.03111111111111111,5,44777.21761252912,0.9703800626848371,51.52620289998595,2026-03-09T12:55:08.227250
sleep_edf,512,1.1149449387539065,0.7259537843813362,0.02974821445068954,5,178799.37649268575,29.79989608211429,1.6778581999824382,2026-03-09T12:58:06.531366
sleep_edf,1024,1.128963012976489,0.7294281281215828,0.031655699693869825,5,3723511.865496185,620.5853109160308,0.08056910004233941,2026-03-09T13:03:23.505146
sleep_edf,2048,1.1418320314333672,0.7389013061968853,0.03824202516255943,5,201894.15752598876,33.64902625433146,1.4859271000023,2026-03-09T13:16:24.532865
sleep_edf,4096,1.1549288996896128,0.7442369724428378,0.036897681474621497,5,173818.45600656822,28.96974266776137,1.7259387000231072,2026-03-09T13:50:52.169166
sleep_edf,8192,1.1674703835464508,0.742407087257728,0.03715563853890121,5,156468.94242617994,26.07815707102999,1.9173134000157006,2026-03-09T15:01:21.337781
sleep_edf,16384,1.179166872747914,0.5904108851175941,0.2587813220764624,5,133689.49998708558,22.28158333118093,2.2440056999912485,2026-03-09T17:36:31.661599
sleep_edf,32768,1.1900787104836017,0.7327219145077217,0.046281909584611876,5,89860.04029222904,14.976673382038173,3.338525099970866,2026-03-09T22:19:49.804109
sleep_edf,65536,1.2018151414686649,0.7445991635870721,0.03758807099750286,5,55478.9114392226,9.246485239870433,5.407460100017488,2026-03-10T10:09:32.391352
mental_arithmetic,512,1.3858531141578267,0.5599999999999999,0.07717224601860148,5,6406439.348260233,168.590509164743,0.29657659999793395,2026-03-10T10:09:40.791744
mental_arithmetic,1024,1.4799582495988535,0.52,0.06863753427324665,5,5651087.016565645,148.7128162254117,0.3362184999859892,2026-03-10T10:09:43.732450
mental_arithmetic,2048,1.5985188180720125,0.5333333333333333,0.07601169500660918,5,4181040.8282953594,110.02739021829893,0.45443230000091717,2026-03-10T10:09:47.870612
mental_arithmetic,4096,1.723390919785828,0.5466666666666666,0.09092121131323902,5,3465242.3423774103,91.19058795730028,0.54830220004078,2026-03-10T10:09:54.373045
mental_arithmetic,8192,1.8683225904784382,0.5533333333333333,0.08589399151150082,5,2028537.8982290137,53.38257626918457,0.9366351999924518,2026-03-10T10:10:05.496027
mental_arithmetic,16384,2.034742696076909,0.52,0.0805536398239638,5,1244224.995207109,32.74276303176603,1.5270549999549985,2026-03-10T10:10:25.038497
