dataset,classifier,acc_mean,acc_ci,kap_mean,kap_ci,acc_std,n_seeds
bci_iv_2a,BPE_Bigram_LogReg,0.2677083333333333,0.006493400886116956,0.023611111111111062,0.00865786784815601,0.005230434361136486,5
bci_iv_2a,BPE_Hist_LogReg,0.2701388888888888,0.0011181439378370314,0.026851851851851804,0.0014908585837826696,0.000900664932864878,5
bci_iv_2a,BPE_Hist_RF,0.2472993827160494,0.0,-0.0036008230452673996,6.01949046163952e-19,0.0,5
bci_iv_2a,BPE_Seq_CNN,0.2612268518518518,0.006594188487364409,0.01496913580246908,0.008792251316485833,0.005311618773124399,5
bci_iv_2a,BPE_Seq_CW_Transformer,0.2500771604938271,0.0023193745420415613,0.00010288065843619999,0.003092499389388685,0.0018682561748153371,5
bci_iv_2a,BPE_Seq_Transformer,0.2638888888888889,0.006089108761818923,0.018518518518518483,0.00811881168242525,0.004904777058291314,5
bci_iv_2a,BPE_WindowedSeq_CNN,0.3056327160493827,0.005286493133432074,0.07417695473251025,0.007048657511242776,0.004258270176131118,5
bci_iv_2a,BPE_Windowed_LogReg,0.3017361111111111,0.0006425925925926391,0.06898148148148142,0.0008567901234567769,0.0005176083281249888,5
bci_iv_2a,CSP_LDA,0.3919753086419753,0.0,0.1893004115226337,0.0,0.0,5
bci_iv_2a,Chronos_Binning,0.2717592592592592,0.0004907881994288725,0.029012345679012303,0.0006543842659052472,0.00039532989066198946,5
bci_iv_2a,EEGNet,0.45084876543209873,0.007760781811146643,0.26779835390946494,0.010347709081528976,0.006251309685975444,5
bci_iv_2a,PSD_LogReg,0.3804398148148148,0.00010709876543209151,0.1739197530864197,0.0001427983539094451,8.626805468748606e-05,5
bci_iv_2a,Patching_LogReg,0.3552469135802469,0.0002141975308642177,0.1403292181069958,0.00028559670781894413,0.00017253610937500004,5
bci_iv_2a,VQ_LogReg,0.2858796296296296,0.0,0.0478395061728395,0.0,0.0,5
epfl_p300,BPE_Bigram_LogReg,0.5970254629629631,0.03018238835507727,0.04977368077722138,0.0022097540053430255,0.024311913575378548,5
epfl_p300,BPE_Hist_LogReg,0.6075231481481481,0.00024363497954501076,0.03460080723052606,0.0005366100386652613,0.00019624797404878058,5
epfl_p300,BPE_Hist_RF,0.8333333333333334,0.0,0.0,0.0,0.0,5
