dataset,method,n_bins,sqnr_db_mean,sqnr_db_ci_low,sqnr_db_ci_high,corr_mean,corr_ci_low,corr_ci_high,mse_mean,rmse_mean,spectral_distortion_pct,timestamp
sleep_edf,uniform,512,31.520270828204893,27.86977078013355,35.62601752121826,0.9987080998833958,0.9978742493363203,0.9993906788678885,6.24008496114263e-13,7.899420840253183e-07,"{'delta': {'mean': 1.9720222373112626, 'ci_low': 0.8806798345047817, 'ci_high': 3.2844168737910904}, 'theta': {'mean': 1.171785538713088, 'ci_low': 0.7100670199848781, 'ci_high': 1.6470000874677062}, 'alpha': {'mean': 0.9306013931708863, 'ci_low': 0.6039330386163655, 'ci_high': 1.2769581980493443}, 'beta': {'mean': 1.659962474811877, 'ci_low': 1.0918293594301705, 'ci_high': 2.1497086815765774}, 'gamma': {'mean': 1.5598791567175707, 'ci_low': 1.0333902141392348, 'ci_high': 2.1270506100599147}}",2026-03-07T16:41:46.096882
sleep_edf,uniform,1024,32.57730617626697,28.199974568516712,37.23657489790342,0.9987221404113512,0.9979291040107099,0.9994216994162315,6.107733957941599e-13,7.815199266775991e-07,"{'delta': {'mean': 1.9659286536064204, 'ci_low': 0.8176600518345901, 'ci_high': 3.3175130523833025}, 'theta': {'mean': 1.1681708631883612, 'ci_low': 0.707070435961853, 'ci_high': 1.667567943021591}, 'alpha': {'mean': 0.9268436005644194, 'ci_low': 0.5970156314087883, 'ci_high': 1.2550822646946869}, 'beta': {'mean': 1.6324947530740996, 'ci_low': 1.094346273052991, 'ci_high': 2.1245418926319757}, 'gamma': {'mean': 1.5401586134621454, 'ci_low': 0.9914468108386498, 'ci_high': 2.068055003703732}}",2026-03-07T16:41:46.097882
sleep_edf,mu_law,32,18.366419762333077,17.716730112778173,18.935875657504422,0.9923112443059763,0.9910821651657576,0.993472658713927,7.839240637344773e-12,2.7998643962422134e-06,"{'delta': {'mean': 2.864129742413866, 'ci_low': 1.392125243368957, 'ci_high': 4.544787805899244}, 'theta': {'mean': 2.1591782862029403, 'ci_low': 1.481267490565695, 'ci_high': 2.8606262461729792}, 'alpha': {'mean': 6.96280667514756, 'ci_low': 4.993768410223875, 'ci_high': 9.245296174535408}, 'beta': {'mean': 14.813142692900334, 'ci_low': 7.737643687472954, 'ci_high': 24.991623507974445}, 'gamma': {'mean': 16.37907097275257, 'ci_low': 8.05358681742597, 'ci_high': 28.645979601882686}}",2026-03-07T16:41:46.098382
sleep_edf,mu_law,64,22.828604441206977,21.546898370980283,24.0142766822116,0.9968287560572329,0.9958168327984057,0.9977468047691028,2.5933144436516914e-12,1.6103771122478398e-06,"{'delta': {'mean': 2.4357376057606173, 'ci_low': 1.0937686966309155, 'ci_high': 4.104673744939916}, 'theta': {'mean': 1.392541565873286, 'ci_low': 0.8913145289937425, 'ci_high': 1.9736830269404648}, 'alpha': {'mean': 2.4473668076798725, 'ci_low': 1.7846016616357105, 'ci_high': 3.1880286540032476}, 'beta': {'mean': 5.429806396387484, 'ci_low': 3.0385426081641653, 'ci_high': 8.567583170248113}, 'gamma': {'mean': 6.279906553225294, 'ci_low': 3.183907521216545, 'ci_high': 10.626031619516663}}",2026-03-07T16:41:46.098882
sleep_edf,mu_law,128,26.346192665050857,24.40467235682025,28.310996424545195,0.9981171794004642,0.9971060782056127,0.9988971131736388,1.1802317111373446e-12,1.0863846975806243e-06,"{'delta': {'mean': 2.241498242326429, 'ci_low': 1.0279115454853878, 'ci_high': 3.8085860789615564}, 'theta': {'mean': 1.3196537558204153, 'ci_low': 0.8283580945533721, 'ci_high': 1.8069008540804465}, 'alpha': {'mean': 1.3051193901248452, 'ci_low': 0.905670732872385, 'ci_high': 1.7268690031942246}, 'beta': {'mean': 2.6718198882657505, 'ci_low': 1.7750832233430471, 'ci_high': 3.6884625470236796}, 'gamma': {'mean': 2.9199430080405984, 'ci_low': 1.8560907276038914, 'ci_high': 4.2492807327116235}}",2026-03-07T16:41:46.099882
sleep_edf,mu_law,256,28.884875245619043,26.339022732373984,31.45234559788513,0.9985087867941548,0.9976221527204371,0.9992774097081376,7.878081137412686e-13,8.875855529137845e-07,"{'delta': {'mean': 2.1106593520083297, 'ci_low': 0.973424547585373, 'ci_high': 3.5430950569585185}, 'theta': {'mean': 1.27932431416422, 'ci_low': 0.8172135906803568, 'ci_high': 1.790576022329496}, 'alpha': {'mean': 1.058353942494225, 'ci_low': 0.7113049354394104, 'ci_high': 1.4399628160126219}, 'beta': {'mean': 1.9610001847999883, 'ci_low': 1.3860000909476315, 'ci_high': 2.524121491030585}, 'gamma': {'mean': 1.9563442220157228, 'ci_low': 1.2905848075207436, 'ci_high': 2.6053109248723816}}",2026-03-07T16:41:46.100382
sleep_edf,mu_law,512,30.652796473053616,27.236941985552093,34.27837648008914,0.9986410600592965,0.9978563837010622,0.9993484654750984,6.698619401078017e-13,8.184509393407779e-07,"{'delta': {'mean': 2.040550705062791, 'ci_low': 0.8951749526539794, 'ci_high': 3.3825131863382194}, 'theta': {'mean': 1.2222189733264046, 'ci_low': 0.7812207661629816, 'ci_high': 1.728808155783772}, 'alpha': {'mean': 0.9644395330348676, 'ci_low': 0.6170448668563459, 'ci_high': 1.3190994123955715}, 'beta': {'mean': 1.7527927172663822, 'ci_low': 1.1917048061433724, 'ci_high': 2.2841455823754835}, 'gamma': {'mean': 1.6665465834868667, 'ci_low': 1.1176910819083739, 'ci_high': 2.2437262582026585}}",2026-03-07T16:41:46.101381
sleep_edf,mu_law,1024,31.943348240936388,27.897137998665638,36.55892927804629,0.9986911982590346,0.9978390055969663,0.9993711537771941,6.303994654589084e-13,7.939769930287076e-07,"{'delta': {'mean': 1.9979979677955177, 'ci_low': 0.8137067346288619, 'ci_high': 3.2986383704227955}, 'theta': {'mean': 1.1896575132413123, 'ci_low': 0.7283608400100307, 'ci_high': 1.6948606469128373}, 'alpha': {'mean': 0.9350386998668492, 'ci_low': 0.6032786985146639, 'ci_high': 1.2576787198400228}, 'beta': {'mean': 1.6800622217937236, 'ci_low': 1.1279700379953506, 'ci_high': 2.1992040089286444}, 'gamma': {'mean': 1.5876824724541025, 'ci_low': 1.0150192799247788, 'ci_high': 2.1548916482215876}}",2026-03-07T16:41:46.101882
sleep_edf,adaptive,32,16.016670088976447,15.207872593219395,16.780132150977373,0.9863886011737947,0.9837866027739277,0.9885429887078906,1.3286745533424251e-11,3.6450988372641213e-06,"{'delta': {'mean': 4.316081167481639, 'ci_low': 2.70810911739346, 'ci_high': 6.1290500816377955}, 'theta': {'mean': 3.379644677344035, 'ci_low': 2.0767912268223907, 'ci_high': 4.712658611458248}, 'alpha': {'mean': 8.544170271320516, 'ci_low': 6.522643515078589, 'ci_high': 11.19549538815098}, 'beta': {'mean': 15.246668236781451, 'ci_low': 8.364612519577351, 'ci_high': 25.21149970359861}, 'gamma': {'mean': 14.713966148977724, 'ci_low': 8.125236310190411, 'ci_high': 25.632297652113436}}",2026-03-07T16:41:46.102882
sleep_edf,adaptive,64,19.309927678298315,18.234822126248666,20.402369335437516,0.9932778498582742,0.9916056340873795,0.9947318449347448,5.94008224658311e-12,2.437228394423286e-06,"{'delta': {'mean': 3.1946397362720163, 'ci_low': 1.7276030593474825, 'ci_high': 4.976316382689778}, 'theta': {'mean': 2.9574393960721546, 'ci_low': 2.134066221318679, 'ci_high': 3.7423028895336405}, 'alpha': {'mean': 5.110158734240999, 'ci_low': 3.9753300398640805, 'ci_high': 6.3925215236111415}, 'beta': {'mean': 8.249974894109828, 'ci_low': 4.51952888937989, 'ci_high': 13.07616003849044}, 'gamma': {'mean': 8.347512637829393, 'ci_low': 4.581425578081032, 'ci_high': 13.854924374059904}}",2026-03-07T16:41:46.103382
