dataset,vocab_size,seed,fold,accuracy,balanced_accuracy,kappa
ssvep_nakanishi,1024,789,6,0.08333333333333333,0.08333333333333333,0.0
ssvep_nakanishi,1024,789,7,0.07222222222222222,0.07222222222222223,-0.0121212121212122
ssvep_nakanishi,1024,789,8,0.1,0.09999999999999999,0.018181818181818188
ssvep_nakanishi,1024,2024,0,0.07777777777777778,0.07777777777777778,-0.0060606060606061
ssvep_nakanishi,1024,2024,1,0.06111111111111111,0.06111111111111111,-0.0242424242424244
ssvep_nakanishi,1024,2024,2,0.06111111111111111,0.061111111111111116,-0.024242424242424176
ssvep_nakanishi,1024,2024,3,0.1,0.09999999999999999,0.018181818181818188
ssvep_nakanishi,1024,2024,4,0.1,0.09999999999999999,0.018181818181818188
ssvep_nakanishi,1024,2024,5,0.06111111111111111,0.061111111111111116,-0.024242424242424176
ssvep_nakanishi,1024,2024,6,0.08333333333333333,0.08333333333333333,0.0
ssvep_nakanishi,1024,2024,7,0.07222222222222222,0.07222222222222223,-0.0121212121212122
ssvep_nakanishi,1024,2024,8,0.1,0.09999999999999999,0.018181818181818188
bci_iv_2a,2048,42,0,0.2621527777777778,0.2621527777777778,0.01620370370370372
bci_iv_2a,2048,42,1,0.2690972222222222,0.2690972222222222,0.02546296296296291
bci_iv_2a,2048,42,2,0.2899305555555556,0.2899305555555556,0.0532407407407407
bci_iv_2a,2048,42,3,0.2847222222222222,0.2847222222222222,0.04629629629629628
bci_iv_2a,2048,42,4,0.24479166666666666,0.24479166666666669,-0.00694444444444442
bci_iv_2a,2048,42,5,0.2690972222222222,0.2690972222222222,0.02546296296296291
bci_iv_2a,2048,42,6,0.2725694444444444,0.2725694444444444,0.03009259259259256
bci_iv_2a,2048,42,7,0.3020833333333333,0.30208333333333337,0.06944444444444442
bci_iv_2a,2048,42,8,0.2517361111111111,0.2517361111111111,0.0023148148148147696
bci_iv_2a,2048,123,0,0.2621527777777778,0.2621527777777778,0.01620370370370372
