ablation,dataset,condition,vocab_size,n_bins,method,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A11,sleep_edf,raw,256,64,adaptive,42,0.7251645095565528,0.0769388232001013,0.62,0.8019271948608137,0.5588769941357273,0.49765987161849146,2026-03-22T01:26:30.746745
A11,sleep_edf,raw,256,64,adaptive,123,0.7228835011583016,0.07310445682941231,0.6252830188679245,0.8012134189864383,0.5745706899442328,0.4965065517554969,2026-03-22T01:26:30.748254
A11,sleep_edf,raw,256,64,adaptive,456,0.7287067381322441,0.07102876097659196,0.6316981132075472,0.7997858672376874,0.5773231096194059,0.5065747037418996,2026-03-22T01:26:30.752752
A11,sleep_edf,raw,256,64,adaptive,789,0.7274623538284074,0.07202322050338797,0.6286792452830189,0.7983583154889363,0.5740038728161537,0.5036509155994433,2026-03-22T01:26:30.753753
A11,sleep_edf,raw,256,64,adaptive,2024,0.7277654172921627,0.07541353714588062,0.6256603773584906,0.805496074232691,0.5733977595057286,0.5045262087378707,2026-03-22T01:26:30.754253
A11,sleep_edf,tfidf,256,64,adaptive,42,0.5449240596429197,0.31691075575462463,0.09924528301886792,0.8087080656673805,0.48076654326196855,0.3743428640023858,2026-03-22T01:26:41.808880
A11,sleep_edf,tfidf,256,64,adaptive,123,0.5473055293426602,0.3295744139914957,0.0884450784593438,0.8475471698113207,0.4366088691798602,0.33420640202938023,2026-03-22T01:26:41.810384
A11,sleep_edf,tfidf,256,64,adaptive,456,0.3478831761907643,0.2415418690759525,0.1041509433962264,0.6770164168451106,0.35384494867434896,0.10168606166954293,2026-03-22T01:26:41.810384
A11,sleep_edf,tfidf,256,64,adaptive,789,0.767140565138944,0.05422129831460573,0.7037830121341898,0.8362264150943396,0.43447401031856847,0.46922605731771244,2026-03-22T01:26:41.811894
A11,sleep_edf,tfidf,256,64,adaptive,2024,0.5432811993058727,0.3204090819124788,0.099214846538187,0.8433962264150944,0.47159261115629275,0.36269490429922097,2026-03-22T01:26:41.812894
A11,sleep_edf,log,256,64,adaptive,42,0.7585610942076121,0.0846780999084236,0.6388679245283019,0.8216833095577746,0.6302645007772635,0.5757684869628904,2026-03-22T01:28:57.681104
A11,sleep_edf,log,256,64,adaptive,123,0.793636866205316,0.0788965527210705,0.6845283018867926,0.8684022824536376,0.6621059402958878,0.6251445836683683,2026-03-22T01:28:57.682105
A11,sleep_edf,log,256,64,adaptive,456,0.7652863169570252,0.12874500280695617,0.5837735849056603,0.8684022824536376,0.6468479926157089,0.6026309266487723,2026-03-22T01:28:57.682605
A11,sleep_edf,log,256,64,adaptive,789,0.7872347826065796,0.09055051385326474,0.659245283018868,0.8548502139800286,0.6493401584835912,0.6191449025730437,2026-03-22T01:28:57.683605
A11,sleep_edf,log,256,64,adaptive,2024,0.8072538036939533,0.06786044998769941,0.7139622641509434,0.87339514978602,0.6548600698856147,0.6432441074166788,2026-03-22T01:28:57.684106
A11,sleep_edf,binary,256,64,adaptive,42,0.7824160384457249,0.06740794465139222,0.6883018867924529,0.8426124197002142,0.5781501158104622,0.5957918672580541,2026-03-22T01:31:51.724022
A11,sleep_edf,binary,256,64,adaptive,123,0.7513423442934647,0.08804101622904532,0.6275471698113207,0.824768022840828,0.5968793970258065,0.5577783998199832,2026-03-22T01:31:51.725026
A11,sleep_edf,binary,256,64,adaptive,456,0.7979537230601222,0.03995608875408695,0.7452830188679244,0.8420114122681883,0.6014926120743115,0.6103027648557356,2026-03-22T01:31:51.726026
A11,sleep_edf,binary,256,64,adaptive,789,0.7614070901608777,0.0823817221474278,0.6449056603773585,0.8204853675945754,0.5888802562234066,0.5652571131435938,2026-03-22T01:31:51.727025
A11,sleep_edf,binary,256,64,adaptive,2024,0.8098626727339826,0.03156649047765731,0.7656603773584906,0.8373751783166904,0.6212499318319065,0.6301557004507348,2026-03-22T01:31:51.727525
