n_tokens_analysed,correlations,any_significant_001,any_significant_005,timestamp
15181,"[{'feature': 'duration_ms', 'spearman_rho': 0.2399298624360028, 'p_value': 1.0165457655169088e-197, 'p_bonferroni': 9.148911889652179e-197, 'significant_001': True, 'significant_005': True, 'perm_p_value': 0.0}, {'feature': 'dominant_freq_hz', 'spearman_rho': -0.026697707079992805, 'p_value': 0.0010026858648643725, 'p_bonferroni': 0.009024172783779353, 'significant_001': True, 'significant_005': True, 'perm_p_value': 0.001}, {'feature': 'spectral_entropy', 'spearman_rho': 0.03793914851411757, 'p_value': 2.9277217607567076e-06, 'p_bonferroni': 2.634949584681037e-05, 'significant_001': True, 'significant_005': True, 'perm_p_value': 0.0}, {'feature': 'hjorth_complexity', 'spearman_rho': 0.10388113978996817, 'p_value': 1.071381450423472e-37, 'p_bonferroni': 9.64243305381125e-37, 'significant_001': True, 'significant_005': True, 'perm_p_value': 0.0}, {'feature': 'band_delta', 'spearman_rho': nan, 'p_value': nan, 'p_bonferroni': nan, 'significant_001': False, 'significant_005': False, 'note': 'zero_variance_skipped'}, {'feature': 'band_theta', 'spearman_rho': 0.0031577572523616895, 'p_value': 0.6972465602358575, 'p_bonferroni': 1.0, 'significant_001': False, 'significant_005': False}, {'feature': 'band_alpha', 'spearman_rho': 0.012683379976161313, 'p_value': 0.11813055282220628, 'p_bonferroni': 1.0, 'significant_001': False, 'significant_005': False}, {'feature': 'band_beta', 'spearman_rho': 0.05260273864694233, 'p_value': 8.861252474251804e-11, 'p_bonferroni': 7.975127226826624e-10, 'significant_001': True, 'significant_005': True, 'perm_p_value': 0.0}, {'feature': 'band_gamma', 'spearman_rho': 0.147885353437466, 'p_value': 5.684499228331961e-75, 'p_bonferroni': 5.116049305498764e-74, 'significant_001': True, 'significant_005': True, 'perm_p_value': 0.0}]",True,True,2026-03-09T09:21:50.784521
585,"[{'feature': 'duration_ms', 'spearman_rho': -0.02400150048566787, 'p_value': 0.5623458376740968, 'p_bonferroni': 1.0, 'significant_001': False, 'significant_005': False}, {'feature': 'dominant_freq_hz', 'spearman_rho': 0.5242427381803723, 'p_value': 1.3049134440600324e-42, 'p_bonferroni': 1.1744220996540292e-41, 'significant_001': True, 'significant_005': True, 'perm_p_value': 0.0}, {'feature': 'spectral_entropy', 'spearman_rho': 0.5135629577434206, 'p_value': 1.1083727053943616e-40, 'p_bonferroni': 9.975354348549254e-40, 'significant_001': True, 'significant_005': True, 'perm_p_value': 0.0}, {'feature': 'hjorth_complexity', 'spearman_rho': 0.41758364992658603, 'p_value': 4.332676428204392e-26, 'p_bonferroni': 3.899408785383953e-25, 'significant_001': True, 'significant_005': True, 'perm_p_value': 0.0}, {'feature': 'band_delta', 'spearman_rho': nan, 'p_value': nan, 'p_bonferroni': nan, 'significant_001': False, 'significant_005': False, 'note': 'zero_variance_skipped'}, {'feature': 'band_theta', 'spearman_rho': nan, 'p_value': nan, 'p_bonferroni': nan, 'significant_001': False, 'significant_005': False, 'note': 'zero_variance_skipped'}, {'feature': 'band_alpha', 'spearman_rho': nan, 'p_value': nan, 'p_bonferroni': nan, 'significant_001': False, 'significant_005': False, 'note': 'zero_variance_skipped'}, {'feature': 'band_beta', 'spearman_rho': 0.07436120267352463, 'p_value': 0.07230395236142423, 'p_bonferroni': 0.650735571252818, 'significant_001': False, 'significant_005': False}, {'feature': 'band_gamma', 'spearman_rho': 0.526778004508798, 'p_value': 4.4409735390092345e-43, 'p_bonferroni': 3.996876185108311e-42, 'significant_001': True, 'significant_005': True, 'perm_p_value': 0.0}]",True,True,2026-03-21T21:32:36.542109
