dataset,approach,seed,fold,accuracy,macro_f1,kappa,compression_ratio,mean_token_len_ms
bci_iv_2a,raw,42,0,0.2552083333333333,0.25375703767408164,0.00694444444444442,1.240870492122941,4.949963261075171
bci_iv_2a,raw,42,1,0.2552083333333333,0.24935559981474514,0.00694444444444442,1.240870492122941,4.949963261075171
bci_iv_2a,raw,42,2,0.2482638888888889,0.24772900813550197,-0.0023148148148148806,1.240870492122941,4.949963261075171
bci_iv_2a,raw,42,3,0.2517361111111111,0.2495901147999557,0.0023148148148147696,1.240870492122941,4.949963261075171
bci_iv_2a,raw,42,4,0.24131944444444445,0.23674438247663232,-0.011574074074074181,1.240870492122941,4.949963261075171
bci_iv_2a,raw,42,5,0.2638888888888889,0.2637274163464051,0.01851851851851849,1.240870492122941,4.949963261075171
bci_iv_2a,raw,42,6,0.21006944444444445,0.20962561865964008,-0.0532407407407407,1.240870492122941,4.949963261075171
bci_iv_2a,raw,42,7,0.2204861111111111,0.22008081423596657,-0.03935185185185186,1.240870492122941,4.949963261075171
bci_iv_2a,raw,42,8,0.25,0.248961676152705,0.0,1.240870492122941,4.949963261075171
bci_iv_2a,raw,123,0,0.2552083333333333,0.25375703767408164,0.00694444444444442,1.240870492122941,4.949963261075171
bci_iv_2a,raw,123,1,0.2552083333333333,0.24939088011012928,0.00694444444444442,1.240870492122941,4.949963261075171
bci_iv_2a,raw,123,2,0.24479166666666666,0.24416854553386896,-0.00694444444444442,1.240870492122941,4.949963261075171
bci_iv_2a,raw,123,3,0.2517361111111111,0.2495901147999557,0.0023148148148147696,1.240870492122941,4.949963261075171
bci_iv_2a,raw,123,4,0.23958333333333334,0.23485498926770826,-0.01388888888888884,1.240870492122941,4.949963261075171
bci_iv_2a,raw,123,5,0.2638888888888889,0.26374260638860825,0.01851851851851849,1.240870492122941,4.949963261075171
bci_iv_2a,raw,123,6,0.21006944444444445,0.20962561865964008,-0.0532407407407407,1.240870492122941,4.949963261075171
bci_iv_2a,raw,123,7,0.2204861111111111,0.22008081423596657,-0.03935185185185186,1.240870492122941,4.949963261075171
bci_iv_2a,raw,123,8,0.2534722222222222,0.25240024211448553,0.00462962962962965,1.240870492122941,4.949963261075171
bci_iv_2a,raw,456,0,0.2552083333333333,0.25375703767408164,0.00694444444444442,1.240870492122941,4.949963261075171
bci_iv_2a,raw,456,1,0.2552083333333333,0.24935559981474514,0.00694444444444442,1.240870492122941,4.949963261075171
bci_iv_2a,raw,456,2,0.2465277777777778,0.24572968227903325,-0.004629629629629539,1.240870492122941,4.949963261075171
bci_iv_2a,raw,456,3,0.25,0.24797062076037413,0.0,1.240870492122941,4.949963261075171
bci_iv_2a,raw,456,4,0.23958333333333334,0.23491345666875207,-0.01388888888888884,1.240870492122941,4.949963261075171
bci_iv_2a,raw,456,5,0.2638888888888889,0.26367077485464685,0.01851851851851849,1.240870492122941,4.949963261075171
bci_iv_2a,raw,456,6,0.21006944444444445,0.20959898701905952,-0.0532407407407407,1.240870492122941,4.949963261075171
bci_iv_2a,raw,456,7,0.2222222222222222,0.2218468755960981,-0.03703703703703698,1.240870492122941,4.949963261075171
bci_iv_2a,raw,456,8,0.2534722222222222,0.252418666634263,0.00462962962962965,1.240870492122941,4.949963261075171
bci_iv_2a,raw,789,0,0.2552083333333333,0.25375703767408164,0.00694444444444442,1.240870492122941,4.949963261075171
bci_iv_2a,raw,789,1,0.2552083333333333,0.24935559981474514,0.00694444444444442,1.240870492122941,4.949963261075171
bci_iv_2a,raw,789,2,0.2482638888888889,0.24772394030356237,-0.0023148148148148806,1.240870492122941,4.949963261075171
bci_iv_2a,raw,789,3,0.25,0.24797062076037413,0.0,1.240870492122941,4.949963261075171
bci_iv_2a,raw,789,4,0.24305555555555555,0.23823562908349816,-0.0092592592592593,1.240870492122941,4.949963261075171
bci_iv_2a,raw,789,5,0.2638888888888889,0.2637287656192938,0.01851851851851849,1.240870492122941,4.949963261075171
bci_iv_2a,raw,789,6,0.21006944444444445,0.20962561865964008,-0.0532407407407407,1.240870492122941,4.949963261075171
bci_iv_2a,raw,789,7,0.21875,0.21843296435390938,-0.04166666666666674,1.240870492122941,4.949963261075171
bci_iv_2a,raw,789,8,0.2534722222222222,0.2523708962336034,0.00462962962962965,1.240870492122941,4.949963261075171
bci_iv_2a,raw,2024,0,0.2552083333333333,0.25375703767408164,0.00694444444444442,1.240870492122941,4.949963261075171
bci_iv_2a,raw,2024,1,0.2552083333333333,0.24939088011012928,0.00694444444444442,1.240870492122941,4.949963261075171
bci_iv_2a,raw,2024,2,0.2482638888888889,0.2473821249669606,-0.0023148148148148806,1.240870492122941,4.949963261075171
bci_iv_2a,raw,2024,3,0.25,0.24797062076037413,0.0,1.240870492122941,4.949963261075171
bci_iv_2a,raw,2024,4,0.24131944444444445,0.2367815802087581,-0.011574074074074181,1.240870492122941,4.949963261075171
bci_iv_2a,raw,2024,5,0.2638888888888889,0.2637119258040994,0.01851851851851849,1.240870492122941,4.949963261075171
bci_iv_2a,raw,2024,6,0.21006944444444445,0.20959763427445943,-0.0532407407407407,1.240870492122941,4.949963261075171
bci_iv_2a,raw,2024,7,0.2222222222222222,0.22183689511824484,-0.03703703703703698,1.240870492122941,4.949963261075171
bci_iv_2a,raw,2024,8,0.2534722222222222,0.2523708962336034,0.00462962962962965,1.240870492122941,4.949963261075171
bci_iv_2a,downsample_64hz,42,0,0.2760416666666667,0.2751025867458812,0.03472222222222221,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,42,1,0.2569444444444444,0.2552878668425921,0.0092592592592593,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,42,2,0.2673611111111111,0.2663046949856276,0.02314814814814814,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,42,3,0.2864583333333333,0.2866847833008037,0.04861111111111116,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,42,4,0.2552083333333333,0.2537129552083746,0.00694444444444442,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,42,5,0.2725694444444444,0.2728804834208938,0.03009259259259256,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,42,6,0.2621527777777778,0.2608357015718991,0.01620370370370372,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,42,7,0.2934027777777778,0.2933471863288144,0.05787037037037035,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,42,8,0.265625,0.2658764731855962,0.02083333333333337,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,123,0,0.2760416666666667,0.27501656203086006,0.03472222222222221,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,123,1,0.2569444444444444,0.2550520902996363,0.0092592592592593,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,123,2,0.265625,0.2645559740237499,0.02083333333333337,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,123,3,0.2881944444444444,0.2884588847241286,0.05092592592592593,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,123,4,0.2534722222222222,0.2521782488798293,0.00462962962962965,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,123,5,0.2725694444444444,0.2726044841185959,0.03009259259259256,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,123,6,0.2621527777777778,0.26077905457191924,0.01620370370370372,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,123,7,0.2951388888888889,0.2950928169535185,0.06018518518518523,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,123,8,0.2638888888888889,0.2643208211637786,0.01851851851851849,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,456,0,0.2760416666666667,0.2751025867458812,0.03472222222222221,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,456,1,0.2552083333333333,0.25302627217302986,0.00694444444444442,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,456,2,0.265625,0.2645559740237499,0.02083333333333337,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,456,3,0.2881944444444444,0.2884914331486912,0.05092592592592593,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,456,4,0.2534722222222222,0.2519306451539766,0.00462962962962965,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,456,5,0.2708333333333333,0.27067609237760565,0.02777777777777779,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,456,6,0.2638888888888889,0.2623636385445014,0.01851851851851849,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,456,7,0.2951388888888889,0.295100557001324,0.06018518518518523,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,456,8,0.265625,0.26585354648307286,0.02083333333333337,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,789,0,0.2743055555555556,0.27331152272775255,0.03240740740740744,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,789,1,0.2552083333333333,0.25374940530413054,0.00694444444444442,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,789,2,0.2673611111111111,0.26642915408643064,0.02314814814814814,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,789,3,0.2899305555555556,0.29025102000045766,0.0532407407407407,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,789,4,0.2552083333333333,0.2536828004158949,0.00694444444444442,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,789,5,0.2743055555555556,0.27463967574849507,0.03240740740740744,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,789,6,0.2638888888888889,0.2622428514125265,0.01851851851851849,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,789,7,0.2951388888888889,0.2950785375781272,0.06018518518518523,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,789,8,0.2673611111111111,0.2673345464344684,0.02314814814814814,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,2024,0,0.2760416666666667,0.27508913291041837,0.03472222222222221,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,2024,1,0.2586805555555556,0.2569008882608183,0.01157407407407407,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,2024,2,0.2673611111111111,0.2663645437192475,0.02314814814814814,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,2024,3,0.2864583333333333,0.2866847833008037,0.04861111111111116,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,2024,4,0.2534722222222222,0.252138668852559,0.00462962962962965,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,2024,5,0.2725694444444444,0.27287516187828537,0.03009259259259256,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,2024,6,0.2638888888888889,0.26235072863658315,0.01851851851851849,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,2024,7,0.2934027777777778,0.293484555984556,0.05787037037037035,1.2352056660694148,19.279677129712816
bci_iv_2a,downsample_64hz,2024,8,0.265625,0.26578634053410655,0.02083333333333337,1.2352056660694148,19.279677129712816
bci_iv_2a,envelope_8_30hz,42,0,0.2743055555555556,0.2733004749242943,0.03240740740740744,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,42,1,0.2569444444444444,0.2563896199907148,0.0092592592592593,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,42,2,0.2638888888888889,0.26387467612891713,0.01851851851851849,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,42,3,0.2204861111111111,0.2201792569970033,-0.03935185185185186,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,42,4,0.2795138888888889,0.27597192380260427,0.03935185185185186,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,42,5,0.2569444444444444,0.25677957466896545,0.0092592592592593,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,42,6,0.2465277777777778,0.24628493653919348,-0.004629629629629539,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,42,7,0.2638888888888889,0.2618428507122674,0.01851851851851849,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,42,8,0.2482638888888889,0.24648696139228937,-0.0023148148148148806,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,123,0,0.2760416666666667,0.2751789830978106,0.03472222222222221,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,123,1,0.2621527777777778,0.26157163829388985,0.01620370370370372,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,123,2,0.2638888888888889,0.2638580470790368,0.01851851851851849,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,123,3,0.2222222222222222,0.22188401476917163,-0.03703703703703698,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,123,4,0.2777777777777778,0.27446396759279257,0.03703703703703709,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,123,5,0.2569444444444444,0.25671107902336576,0.0092592592592593,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,123,6,0.2465277777777778,0.24628493653919348,-0.004629629629629539,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,123,7,0.2621527777777778,0.25995768199765246,0.01620370370370372,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,123,8,0.25,0.24842283066306647,0.0,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,456,0,0.2760416666666667,0.2751798293276302,0.03472222222222221,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,456,1,0.2621527777777778,0.26157163829388985,0.01620370370370372,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,456,2,0.2638888888888889,0.26387467612891713,0.01851851851851849,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,456,3,0.2222222222222222,0.22188401476917163,-0.03703703703703698,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,456,4,0.2795138888888889,0.2763337522752882,0.03935185185185186,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,456,5,0.2569444444444444,0.25668133339198806,0.0092592592592593,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,456,6,0.2465277777777778,0.24628493653919348,-0.004629629629629539,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,456,7,0.2604166666666667,0.25831016039693505,0.01388888888888884,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,456,8,0.25,0.24842283066306647,0.0,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,789,0,0.2760416666666667,0.2751407435383013,0.03472222222222221,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,789,1,0.2621527777777778,0.26157163829388985,0.01620370370370372,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,789,2,0.2638888888888889,0.26387467612891713,0.01851851851851849,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,789,3,0.2204861111111111,0.22018130456023943,-0.03935185185185186,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,789,4,0.2795138888888889,0.27597192380260427,0.03935185185185186,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,789,5,0.2569444444444444,0.25671107902336576,0.0092592592592593,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,789,6,0.24479166666666666,0.24442564695123087,-0.00694444444444442,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,789,7,0.2621527777777778,0.25995768199765246,0.01620370370370372,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,789,8,0.25,0.24842283066306647,0.0,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,2024,0,0.2760416666666667,0.2751798293276302,0.03472222222222221,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,2024,1,0.2586805555555556,0.2582120432842653,0.01157407407407407,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,2024,2,0.2638888888888889,0.2638835263437155,0.01851851851851849,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,2024,3,0.2204861111111111,0.22019331695748023,-0.03935185185185186,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,2024,4,0.2777777777777778,0.27446396759279257,0.03703703703703709,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,2024,5,0.2569444444444444,0.25671107902336576,0.0092592592592593,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,2024,6,0.25,0.24985914457335834,0.0,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,2024,7,0.2621527777777778,0.2601937392939035,0.01620370370370372,1.2420432073513024,19.398034577532503
bci_iv_2a,envelope_8_30hz,2024,8,0.25,0.24839071450951172,0.0,1.2420432073513024,19.398034577532503
bci_iv_2a,spectral_500ms,42,0,0.2361111111111111,0.2356218580085334,-0.0185185185185186,1.5590879035096645,774.4164159233889
bci_iv_2a,spectral_500ms,42,1,0.2673611111111111,0.2657198495766419,0.02314814814814814,1.5590879035096645,774.4164159233889
bci_iv_2a,spectral_500ms,42,2,0.2690972222222222,0.2690374212657744,0.02546296296296291,1.5590879035096645,774.4164159233889
bci_iv_2a,spectral_500ms,42,3,0.2569444444444444,0.25382448567525984,0.0092592592592593,1.5590879035096645,774.4164159233889
bci_iv_2a,spectral_500ms,42,4,0.23958333333333334,0.23730814593412136,-0.01388888888888884,1.5590879035096645,774.4164159233889
bci_iv_2a,spectral_500ms,42,5,0.2517361111111111,0.25114107401265373,0.0023148148148147696,1.5590879035096645,774.4164159233889
bci_iv_2a,spectral_500ms,42,6,0.2552083333333333,0.25328125444662625,0.00694444444444442,1.5590879035096645,774.4164159233889
bci_iv_2a,spectral_500ms,42,7,0.2777777777777778,0.27750869969460634,0.03703703703703709,1.5590879035096645,774.4164159233889
bci_iv_2a,spectral_500ms,42,8,0.2847222222222222,0.27958015894740307,0.04629629629629628,1.5590879035096645,774.4164159233889
bci_iv_2a,spectral_500ms,123,0,0.23958333333333334,0.23917600954583051,-0.01388888888888884,1.5590879035096645,774.4164159233889
bci_iv_2a,spectral_500ms,123,1,0.2690972222222222,0.2676560826389267,0.02546296296296291,1.5590879035096645,774.4164159233889
bci_iv_2a,spectral_500ms,123,2,0.2708333333333333,0.27071536236980387,0.02777777777777779,1.5590879035096645,774.4164159233889
bci_iv_2a,spectral_500ms,123,3,0.2569444444444444,0.25418820652351454,0.0092592592592593,1.5590879035096645,774.4164159233889
bci_iv_2a,spectral_500ms,123,4,0.2361111111111111,0.23382971233702268,-0.0185185185185186,1.5590879035096645,774.4164159233889
