ablation,dataset,n_bins,vocab_size,classifier,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A9,bci_iv_2a,32,128,LogReg,42,0.2650462962962963,0.027217537074779738,0.2496141975308642,0.2845341435185185,0.2650462962962963,0.02006172839506172,2026-03-12T03:23:21.540734
A9,bci_iv_2a,32,128,LogReg,123,0.2648533950617284,0.025608683295179145,0.24845196759259258,0.2822145061728395,0.2648533950617284,0.01980452674897119,2026-03-12T03:23:21.542239
A9,bci_iv_2a,32,128,LogReg,456,0.26523919753086417,0.025812751307227468,0.24998553240740745,0.2827980324074075,0.26523919753086417,0.0203189300411523,2026-03-12T03:23:21.545738
A9,bci_iv_2a,32,128,LogReg,789,0.2667824074074074,0.025025171655601454,0.2513503086419753,0.2837625385802469,0.2667824074074074,0.02237654320987654,2026-03-12T03:23:21.546739
A9,bci_iv_2a,32,128,LogReg,2024,0.2650462962962963,0.026316706020606654,0.24845196759259258,0.2826051311728395,0.2650462962962963,0.020061728395061745,2026-03-12T03:23:21.547739
A9,bci_iv_2a,32,128,RF,42,0.24961419753086422,0.01908455278708586,0.23707561728395066,0.2613859953703703,0.24961419753086422,-0.0005144032921810845,2026-03-12T03:23:21.548739
A9,bci_iv_2a,32,128,RF,123,0.24961419753086422,0.01908455278708586,0.2353298611111111,0.2613811728395061,0.24961419753086422,-0.0005144032921810845,2026-03-12T03:23:21.549739
A9,bci_iv_2a,32,128,RF,456,0.24961419753086422,0.01908455278708586,0.2374614197530864,0.2611882716049383,0.24961419753086422,-0.0005144032921810845,2026-03-12T03:23:21.550239
A9,bci_iv_2a,32,128,RF,789,0.24961419753086422,0.01908455278708586,0.23688271604938269,0.2611979166666667,0.24961419753086422,-0.0005144032921810845,2026-03-12T03:23:21.551239
A9,bci_iv_2a,32,128,RF,2024,0.24961419753086422,0.01908455278708586,0.23687789351851848,0.2606143904320987,0.24961419753086422,-0.0005144032921810845,2026-03-12T03:23:21.552239
A9,bci_iv_2a,32,256,LogReg,42,0.27179783950617287,0.026267170645773535,0.2550057870370371,0.28839699074074077,0.2717978395061728,0.029063786008230477,2026-03-12T03:29:50.955248
A9,bci_iv_2a,32,256,LogReg,123,0.2717978395061728,0.025998048748196678,0.25636574074074076,0.29031635802469136,0.27179783950617287,0.029063786008230477,2026-03-12T03:29:50.957747
A9,bci_iv_2a,32,256,LogReg,456,0.2725694444444444,0.026060949650920606,0.2569444444444444,0.2909047067901235,0.2725694444444444,0.030092592592592584,2026-03-12T03:29:50.958747
A9,bci_iv_2a,32,256,LogReg,789,0.27295524691358025,0.02642817314552956,0.25655864197530864,0.2907069830246914,0.27295524691358025,0.03060699588477367,2026-03-12T03:29:50.959747
A9,bci_iv_2a,32,256,LogReg,2024,0.2719907407407407,0.02548925410364033,0.25751350308641974,0.28954475308641975,0.27199074074074076,0.029320987654320983,2026-03-12T03:29:50.960747
A9,bci_iv_2a,32,256,RF,42,0.2482638888888889,0.019862271182558466,0.2357253086419753,0.26196469907407405,0.2482638888888889,-0.002314814814814819,2026-03-12T03:29:50.961747
A9,bci_iv_2a,32,256,RF,123,0.2482638888888889,0.019862271182558466,0.23630401234567902,0.2623456790123456,0.2482638888888889,-0.002314814814814819,2026-03-12T03:29:50.962747
A9,bci_iv_2a,32,256,RF,456,0.2482638888888889,0.019862271182558466,0.23591338734567902,0.2611930941358025,0.2482638888888889,-0.002314814814814819,2026-03-12T03:29:50.963747
A9,bci_iv_2a,32,256,RF,789,0.2482638888888889,0.019862271182558466,0.23552276234567904,0.26099537037037035,0.2482638888888889,-0.002314814814814819,2026-03-12T03:29:50.964747
A9,bci_iv_2a,32,256,RF,2024,0.2482638888888889,0.019862271182558466,0.2359037422839506,0.262157600308642,0.2482638888888889,-0.002314814814814819,2026-03-12T03:29:50.965747
A9,bci_iv_2a,32,512,LogReg,42,0.27642746913580246,0.030989329672875317,0.2577160493827161,0.29706790123456783,0.27642746913580246,0.03523662551440332,2026-03-12T03:36:53.021019
