ablation,dataset,condition,vocab_size,n_bins,method,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A14,sleep_edf,global_zscore,256,64,adaptive,42,0.7277781309546363,0.07397057616668994,0.6264150943396226,0.8008565310492507,0.5742832590279414,0.5045430101411467,2026-03-22T01:26:43.818995
A14,sleep_edf,global_zscore,256,64,adaptive,123,0.7336936304678444,0.07400352312695296,0.6313207547169811,0.8037116345467523,0.5886445951095954,0.5151493841852274,2026-03-22T01:26:43.820494
A14,sleep_edf,global_zscore,256,64,adaptive,456,0.7267280225485525,0.0721225747581921,0.6275471698113207,0.7969307637401856,0.5752272788897541,0.5025849128304091,2026-03-22T01:26:43.824998
A14,sleep_edf,global_zscore,256,64,adaptive,789,0.7301334413599841,0.07171422925838233,0.6316981132075472,0.8004996431120629,0.5851503835770732,0.5104691577904915,2026-03-22T01:26:43.825999
A14,sleep_edf,global_zscore,256,64,adaptive,2024,0.7270661369743837,0.07495982242553637,0.6264150943396226,0.7869977222301983,0.5785133883290494,0.503925673803992,2026-03-22T01:26:43.827000
A14,sleep_edf,per_channel,256,64,adaptive,42,0.46242093982328053,0.24007133266894384,0.14566037735849058,0.6560754274085184,0.5179695751831154,0.29251858691422855,2026-03-22T01:29:48.851695
A14,sleep_edf,per_channel,256,64,adaptive,123,0.43223459263393216,0.240600285291911,0.15245283018867925,0.7398286937901499,0.5367618675977269,0.2831890290271166,2026-03-22T01:29:48.852700
A14,sleep_edf,per_channel,256,64,adaptive,456,0.5135550592380055,0.01680438244929839,0.4907275320970042,0.5306923625981442,0.5479320691497679,0.3049404279256594,2026-03-22T01:29:48.853701
A14,sleep_edf,per_channel,256,64,adaptive,789,0.360222934262631,0.28802172690308747,0.11471698113207547,0.7644539614561028,0.47618279506493916,0.2395692697536821,2026-03-22T01:29:48.854200
A14,sleep_edf,per_channel,256,64,adaptive,2024,0.45673935187301157,0.05681495783731192,0.38722341184867953,0.5263908701854494,0.5081694213877179,0.2513319700782541,2026-03-22T01:29:48.855205
A14,sleep_edf,per_trial,256,64,adaptive,42,0.5619730299806039,0.20258164149409366,0.2760342368045649,0.720377358490566,0.5346247989649432,0.35589896971911356,2026-03-22T01:31:54.009724
A14,sleep_edf,per_trial,256,64,adaptive,123,0.5154667387800659,0.19414672999928861,0.35662078034743894,0.7271698113207549,0.5009588246400624,0.3116746645586058,2026-03-22T01:31:54.011229
A14,sleep_edf,per_trial,256,64,adaptive,456,0.5623133080389541,0.20312642657010763,0.2760342368045649,0.7260377358490566,0.537675511825049,0.3569985250533246,2026-03-22T01:31:54.011729
A14,sleep_edf,per_trial,256,64,adaptive,789,0.5576553307525615,0.20598467000140008,0.2674750356633381,0.7249056603773584,0.532849180388589,0.35015396805371496,2026-03-22T01:31:54.012228
A14,sleep_edf,per_trial,256,64,adaptive,2024,0.5663454091833757,0.20852391388275204,0.2717546362339515,0.7252830188679246,0.5362258694854163,0.36039932775865274,2026-03-22T01:31:54.013228
A14,sleep_edf,robust,256,64,adaptive,42,0.7122993329939634,0.06627590269726572,0.6192452830188679,0.7685449358059916,0.5756044885419512,0.4789814413887698,2026-03-22T01:32:34.332421
A14,sleep_edf,robust,256,64,adaptive,123,0.7175353371377943,0.07984202921669767,0.6060377358490566,0.788722341184868,0.5907076802573349,0.4933125860899638,2026-03-22T01:32:34.333430
A14,sleep_edf,robust,256,64,adaptive,456,0.7238001581502278,0.05687871214124094,0.6433962264150943,0.7660485021398001,0.6170608075451282,0.5042713849280173,2026-03-22T01:32:34.334433
A14,sleep_edf,robust,256,64,adaptive,789,0.7174690110360821,0.07679669016394135,0.609056603773585,0.7773019271948608,0.5991064134069136,0.4959357301998523,2026-03-22T01:32:34.334933
A14,sleep_edf,robust,256,64,adaptive,2024,0.7315776808593878,0.08040406717044128,0.6196226415094339,0.8047822983583156,0.6059942080492219,0.5176070125062996,2026-03-22T01:32:34.338293
A14,sleep_edf,none,256,64,adaptive,42,0.463441747165855,0.17762073431083208,0.2143366619115549,0.6159885795860099,0.5462314329469321,0.28668191883210725,2026-03-22T01:34:48.540739
A14,sleep_edf,none,256,64,adaptive,123,0.5480755565886378,0.1881340486986114,0.29315263908701855,0.7415094339622641,0.5127481979574394,0.3466299125859651,2026-03-22T01:34:48.541743
A14,sleep_edf,none,256,64,adaptive,456,0.3312302585743224,0.2200131019477838,0.09132075471698113,0.6227694503925767,0.4629936123047546,0.1882655691552089,2026-03-22T01:34:48.542741
A14,sleep_edf,none,256,64,adaptive,789,0.5030167064053072,0.2929510709046641,0.13587731811697576,0.8528301886792452,0.5231461924723254,0.3497622047445586,2026-03-22T01:34:48.543241
A14,sleep_edf,none,256,64,adaptive,2024,0.38645099202960836,0.28767027715533566,0.12874465049928674,0.7879245283018866,0.4737540292584838,0.24819455864481363,2026-03-22T01:34:48.544241
