experiment,dataset,classifier,level,vocab_size_l1,vocab_size_l2,vocab_size,n_bins,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
S6,sleep_edf,Hierarchical_BPE_LogReg,hierarchical,256,256,256,64,42,0.8008784030323296,0.0912368337962749,0.6719858156028368,0.8704496788008566,0.6194194279003663,0.6431739349651127,2026-03-22T04:22:56.977479
S6,sleep_edf,Hierarchical_BPE_LogReg,hierarchical,256,256,256,64,123,0.8609044056156897,0.009800628454063098,0.8490364025695931,0.8730385164051354,0.6275123754977068,0.7230361515925764,2026-03-22T04:22:56.978984
S6,sleep_edf,Hierarchical_BPE_LogReg,hierarchical,256,256,256,64,456,0.7926010144946093,0.10514535902424031,0.6457446808510638,0.8862339514978602,0.6222373446747081,0.6269402468021034,2026-03-22T04:22:56.983484
S6,sleep_edf,Hierarchical_BPE_LogReg,hierarchical,256,256,256,64,789,0.8065934707889709,0.09891222567872615,0.6670212765957447,0.884450784593438,0.6094723446084661,0.6511585777123902,2026-03-22T04:22:56.984484
S6,sleep_edf,Hierarchical_BPE_LogReg,hierarchical,256,256,256,64,2024,0.7980039507282698,0.08645227861968045,0.6787234042553192,0.8808844507845933,0.6292162016192938,0.6404985930123495,2026-03-22T04:22:56.984984
S6,sleep_edf,Hierarchical_BPE_LogReg,hierarchical,256,256,256,64,42,0.7965904324338209,0.08637859937503155,0.674468085106383,0.8601997146932953,0.603863614068743,0.6333132199649268,2026-03-22T04:23:00.612174
S6,sleep_edf,Hierarchical_BPE_LogReg,hierarchical,256,256,256,64,123,0.8720814941098812,0.006843601727155978,0.8631205673758865,0.8797287651677373,0.6360480291342168,0.7426144125201244,2026-03-22T04:23:00.613174
S6,sleep_edf,Hierarchical_BPE_LogReg,hierarchical,256,256,256,64,456,0.7790058017967141,0.12109941450268358,0.6078014184397164,0.8684022824536376,0.6421073461113399,0.623388471001278,2026-03-22T04:23:00.614175
S6,sleep_edf,Hierarchical_BPE_LogReg,hierarchical,256,256,256,64,789,0.7756798023568533,0.04169198503914652,0.7216312056737588,0.8231098430813124,0.6060344206450593,0.5924759060929821,2026-03-22T04:23:00.614674
S6,sleep_edf,Hierarchical_BPE_LogReg,hierarchical,256,256,256,64,2024,0.8394022841795655,0.03563266182007155,0.7907801418439716,0.8751783166904422,0.638695539478532,0.688029718227023,2026-03-22T04:23:00.615675
S6,bci_iv_2a,Hierarchical_BPE_LogReg,hierarchical,256,256,256,64,42,0.2708333333333333,0.0088524644333208,0.2586805555555556,0.2795138888888889,0.2708333333333333,0.02777777777777779,2026-03-22T04:25:10.919835
S6,bci_iv_2a,Hierarchical_BPE_LogReg,hierarchical,256,256,256,64,123,0.2696759259259259,0.00995639498500305,0.2569444444444444,0.28125,0.2696759259259259,0.026234567901234573,2026-03-22T04:25:10.920836
S6,bci_iv_2a,Hierarchical_BPE_LogReg,hierarchical,256,256,256,64,456,0.2696759259259259,0.007134738429362237,0.2638888888888889,0.2777777777777778,0.2696759259259259,0.026234567901234573,2026-03-22T04:25:10.921337
S6,bci_iv_2a,Hierarchical_BPE_LogReg,hierarchical,256,256,256,64,789,0.2679398148148148,0.008544457789486936,0.2569444444444444,0.2777777777777778,0.2679398148148148,0.023919753086419766,2026-03-22T04:25:10.922336
S6,bci_iv_2a,Hierarchical_BPE_LogReg,hierarchical,256,256,256,64,2024,0.2673611111111111,0.007892466259829796,0.2569444444444444,0.2760416666666667,0.2673611111111111,0.02314814814814814,2026-03-22T04:25:10.923335
S6,bci_iv_2a,Hierarchical_BPE_LogReg,hierarchical,256,256,256,64,42,0.2679398148148148,0.007807139793537075,0.2569444444444444,0.2743055555555556,0.2679398148148148,0.023919753086419766,2026-03-22T04:25:15.090208
S6,bci_iv_2a,Hierarchical_BPE_LogReg,hierarchical,256,256,256,64,123,0.26967592592592593,0.008060409882629689,0.2586805555555556,0.2777777777777778,0.26967592592592593,0.026234567901234573,2026-03-22T04:25:15.091207
S6,bci_iv_2a,Hierarchical_BPE_LogReg,hierarchical,256,256,256,64,456,0.26851851851851855,0.010056798146402073,0.2552083333333333,0.2795138888888889,0.26851851851851855,0.024691358024691357,2026-03-22T04:25:15.092208
S6,bci_iv_2a,Hierarchical_BPE_LogReg,hierarchical,256,256,256,64,789,0.2696759259259259,0.009438371776794045,0.2569444444444444,0.2795138888888889,0.2696759259259259,0.026234567901234573,2026-03-22T04:25:15.093207
S6,bci_iv_2a,Hierarchical_BPE_LogReg,hierarchical,256,256,256,64,2024,0.2679398148148148,0.009113435039365533,0.2552083333333333,0.2760416666666667,0.2679398148148148,0.02391975308641973,2026-03-22T04:25:15.093708
