method_a,method_b,statistic,p_raw,mean_diff,cohens_dz,p_corrected,significant,dataset,cohens_d
BPE_Seq_CNN,Patching_LogReg,3.0,0.3125,0.0005787037037037202,0.3750000000000112,1.0,False,epfl_p300,
BPE_Seq_CNN,VQ_LogReg,0.0,1.0,5.787037037037201e-05,0.31622776601683783,1.0,False,epfl_p300,
BPE_Seq_CW_Transformer,BPE_Seq_Transformer,27.0,0.98046875,-0.0003472222222222543,-0.06476664081776942,1.0,False,epfl_p300,
BPE_Seq_CW_Transformer,BPE_WindowedSeq_CNN,14.0,0.640625,0.0009259259259259189,0.13424800989288443,1.0,False,epfl_p300,
BPE_Seq_CW_Transformer,BPE_Windowed_LogReg,0.0,0.001953125,0.10688657407407409,6.9025095241250725,0.103515625,False,epfl_p300,
BPE_Seq_CW_Transformer,Chronos_Binning,27.0,0.98046875,-0.0004050925925926263,-0.07567383314069563,1.0,False,epfl_p300,
BPE_Seq_CW_Transformer,EEGNet,0.0,0.001953125,-0.04953703703703703,-1.9537473143812016,0.1015625,False,epfl_p300,
BPE_Seq_CW_Transformer,PSD_LogReg,0.0,0.001953125,0.17719907407407406,1.8976277041318992,0.099609375,False,epfl_p300,
BPE_Seq_CW_Transformer,Patching_LogReg,20.5,0.8359375,0.00011574074074072183,0.02002672011879245,1.0,False,epfl_p300,
BPE_Seq_CW_Transformer,VQ_LogReg,27.0,0.98046875,-0.0004050925925926263,-0.07567383314069563,1.0,False,epfl_p300,
BPE_Seq_Transformer,BPE_WindowedSeq_CNN,17.0,0.30859375,0.0012731481481481732,0.24074127142190538,1.0,False,epfl_p300,
BPE_Seq_Transformer,BPE_Windowed_LogReg,0.0,0.001953125,0.10723379629629633,6.272612523322148,0.09765625,False,epfl_p300,
BPE_Seq_Transformer,Chronos_Binning,1.0,1.0,-5.787037037037201e-05,-0.13552618543578768,1.0,False,epfl_p300,
BPE_Seq_Transformer,EEGNet,0.0,0.001953125,-0.04918981481481478,-1.7936410534928602,0.095703125,False,epfl_p300,
BPE_Seq_Transformer,PSD_LogReg,0.0,0.001953125,0.1775462962962963,1.9038908667991237,0.09375,False,epfl_p300,
BPE_Seq_Transformer,Patching_LogReg,1.0,0.5,0.0004629629629629761,0.31087665609051285,1.0,False,epfl_p300,
BPE_Seq_Transformer,VQ_LogReg,1.0,1.0,-5.787037037037201e-05,-0.13552618543578768,1.0,False,epfl_p300,
BPE_WindowedSeq_CNN,BPE_Windowed_LogReg,0.0,0.001953125,0.10596064814814816,6.289781704649612,0.091796875,False,epfl_p300,
BPE_WindowedSeq_CNN,Chronos_Binning,18.0,0.37109375,-0.0013310185185185452,-0.23977709730947566,1.0,False,epfl_p300,
BPE_WindowedSeq_CNN,EEGNet,0.0,0.001953125,-0.05046296296296295,-2.0733454307975134,0.08984375,False,epfl_p300,
BPE_WindowedSeq_CNN,PSD_LogReg,0.0,0.001953125,0.17627314814814815,1.943646540153357,0.087890625,False,epfl_p300,
BPE_WindowedSeq_CNN,Patching_LogReg,20.0,0.4765625,-0.0008101851851851971,-0.1409110384477268,1.0,False,epfl_p300,
BPE_WindowedSeq_CNN,VQ_LogReg,18.0,0.37109375,-0.0013310185185185452,-0.23977709730947566,1.0,False,epfl_p300,
BPE_Windowed_LogReg,Chronos_Binning,0.0,0.001953125,-0.1072916666666667,-6.283081404785053,0.0859375,False,epfl_p300,
BPE_Windowed_LogReg,EEGNet,0.0,0.001953125,-0.1564236111111111,-6.8690499333838515,0.083984375,False,epfl_p300,
BPE_Windowed_LogReg,PSD_LogReg,8.0,0.048828125,0.0703125,0.7404645079176213,1.0,False,epfl_p300,
BPE_Windowed_LogReg,Patching_LogReg,0.0,0.001953125,-0.10677083333333334,-6.152089026879462,0.08203125,False,epfl_p300,
BPE_Windowed_LogReg,VQ_LogReg,0.0,0.001953125,-0.1072916666666667,-6.283081404785053,0.080078125,False,epfl_p300,
Chronos_Binning,EEGNet,0.0,0.001953125,-0.04913194444444441,-1.7883087826040758,0.078125,False,epfl_p300,
Chronos_Binning,PSD_LogReg,0.0,0.001953125,0.1776041666666667,1.8994898646917842,0.076171875,False,epfl_p300,
Chronos_Binning,Patching_LogReg,2.0,0.375,0.0005208333333333482,0.3351516916180786,1.0,False,epfl_p300,
Chronos_Binning,VQ_LogReg,0.0,1.0,0.0,,1.0,False,epfl_p300,0.0
EEGNet,PSD_LogReg,0.0,0.001953125,0.2267361111111111,2.7849358895483256,0.07421875,False,epfl_p300,
EEGNet,Patching_LogReg,0.0,0.001953125,0.049652777777777754,1.7939307809759832,0.072265625,False,epfl_p300,
EEGNet,VQ_LogReg,0.0,0.001953125,0.04913194444444441,1.7883087826040758,0.0703125,False,epfl_p300,
PSD_LogReg,Patching_LogReg,0.0,0.001953125,-0.17708333333333334,-1.8994530914938725,0.068359375,False,epfl_p300,
PSD_LogReg,VQ_LogReg,0.0,0.001953125,-0.1776041666666667,-1.8994898646917842,0.06640625,False,epfl_p300,
Patching_LogReg,VQ_LogReg,2.0,0.375,-0.0005208333333333482,-0.3351516916180786,1.0,False,epfl_p300,
