ablation,dataset,condition,vocab_size,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A10,physionet_mi,subj9,1024,42,0.28888888888888886,0.03370166864022911,0.2577777777777778,0.31555555555555553,0.2885499739761753,0.05087727349055955,2026-03-17T14:32:04.822324
A10,physionet_mi,subj9,1024,123,0.28755555555555556,0.03424241828312572,0.256,0.31555555555555553,0.2873503411437409,0.049056603750648464,2026-03-17T14:32:04.823828
A10,physionet_mi,subj9,1024,456,0.27911111111111114,0.0404566526141343,0.24355555555555558,0.3111111111111111,0.27685336677319927,0.035001087128763375,2026-03-17T14:32:04.828176
A10,physionet_mi,subj9,1024,789,0.2688888888888889,0.03095197394929804,0.24222222222222226,0.29555555555555557,0.26745720016613683,0.022061956228347678,2026-03-17T14:32:04.828766
A10,physionet_mi,subj9,1024,2024,0.2786666666666667,0.03116186336525885,0.25422222222222224,0.31199999999999994,0.2785811073969747,0.037382407423780094,2026-03-17T14:32:04.829771
A10,physionet_mi,all_subj,1024,42,0.32003961814552523,0.005574805510510088,0.31533111617887244,0.32464226821403874,0.3201381081051432,0.09346007164494133,2026-03-17T14:40:09.268520
A10,physionet_mi,all_subj,1024,123,0.3158132224561854,0.016342500836593804,0.3006035234606663,0.3310395030538945,0.31593453423250273,0.08777216288774332,2026-03-17T14:40:09.270025
A10,physionet_mi,all_subj,1024,456,0.3199785843069566,0.011935746078074214,0.30965845139655623,0.32991195706880183,0.3200690385249607,0.09338020783315233,2026-03-17T14:40:09.271025
A10,physionet_mi,all_subj,1024,789,0.3219233499368614,0.00494346492377107,0.31774809323495684,0.3263075740324946,0.3218661547530342,0.09580297788266808,2026-03-17T14:40:09.271525
A10,physionet_mi,all_subj,1024,2024,0.3170295247218378,0.010307680843167088,0.3081989706525198,0.32557356936841053,0.3170878337150843,0.08937316286661838,2026-03-17T14:40:09.272527
